LONGITUDE,LATITUDE,DIS_LAKE,DIS_MAJOR_RIVER,DIS_OCEAN,PRECI_AVG,TEMP_AVG
-57,-32,156602.0,181754.2,252849.7,1295.183624137931,17.86048931034483
-56,-25,580072.4,109199.3,639833.5,1540.2112068965514,22.07507068965517
-73,-11,630609.5,683543.5,565792.3,1988.8482758620692,26.65581965517241
-72,-11,615035.5,671245.9,604486.1,1931.6586206896554,26.757327931034478
-75,-8,963283.0,441482.6,520277.4,1754.3689655172416,26.02586275862068
-58,2,341525.0,461270.0,384902.8,2014.5387931034486,26.74454103448276
16,3,446003.6,1007535.0,627413.5,1488.7025862068967,24.441019655172422
14,13,4701.4,2082788.0,1085341.0,248.8724137931034,27.957112068965518
-64,51,116347.6,731828.7,133811.1,763.4232724137934,-2.3267959310344826
-63,51,153765.4,781171.1,134401.9,786.6560344827585,-1.2732040206896549
-62,51,205771.2,833294.2,143410.4,861.6267241379311,-0.6635775172413795
-61,51,263858.0,887702.5,114260.4,1068.4180999999999,-0.7295259034482761
-70,52,209786.4,645935.2,320010.6,828.5362068965519,-3.656465551724139
-69,52,145312.3,659120.1,283088.4,902.9439655172413,-3.0124281724137942
-70,53,215860.4,756157.8,411643.4,784.480172413793,-4.139870793103449
-69,53,154945.9,767240.2,384053.9,804.9612068965517,-3.762356241379311
-70,54,265743.0,866670.8,511074.8,770.0387931034484,-4.151508655172414
-69,54,220025.4,876171.9,489485.1,768.7396517241382,-4.347413827586206
-70,55,345465.5,977382.1,614550.3,669.4120689655172,-4.958620689655172
-69,55,312366.8,985652.3,597070.4,680.7913793103448,-3.6469109999999993
-66,55,281841.4,1035938.0,577964.6,638.8439655172415,-5.013721275862069
-65,55,288644.1,1060515.0,576586.3,609.839655172414,-4.86551724137931
-76,56,695051.2,1114719.0,901966.9,589.2474172413793,-5.800790275862068
-75,56,644549.6,1101697.0,862683.7,603.9284482758619,-5.548275896551726
-74,56,596234.9,1092485.0,826443.4,615.0655172413793,-5.31630748275862
-73,56,550689.6,1087183.0,793667.6,594.6896551724138,-5.611925344827587
-72,56,508664.5,1085272.0,764764.6,575.1293103448274,-5.669683827586207
-71,56,471108.1,1084897.0,740166.6,567.6500000000001,-5.859267172413793
-70,56,439173.7,1088237.0,720387.1,566.0094862068966,-5.481968448275864
-69,56,414167.8,1095522.0,705834.0,574.5060344827588,-4.9937499999999995
-68,56,397403.8,1106676.0,696836.4,592.2396551724138,-5.07801724137931
-67,56,389948.2,1121580.0,692136.6,602.1965517241377,-5.003663827586205
-66,56,392120.8,1140086.0,689274.0,597.1155172413794,-5.50079024137931
-76,57,758630.4,1222919.0,986819.0,513.4836206896551,-6.756034413793103
-75,57,713615.4,1211303.0,951789.6,511.4499999999999,-7.214726965517241
-74,57,671208.3,1203103.0,919748.1,517.6465482758621,-6.428592034482759
-73,57,631940.1,1198388.0,890984.5,536.9836206896553,-5.8479885517241375
-72,57,596436.2,1196606.0,865811.8,549.5939689655171,-5.672988482758621
-71,57,565410.9,1196231.0,844610.1,551.525,-5.635703999999999
-70,57,539413.7,1198882.0,827425.5,551.7043103448276,-5.198275896551724
-69,57,519601.1,1205401.0,815003.5,542.0887931034482,-5.580747068965516
-68,57,506881.0,1215570.0,807642.6,545.8112068965519,-5.411422482758622
-67,57,501229.0,1228926.0,803358.8,568.3758620689656,-5.463074689655173
-66,57,502886.6,1245497.0,800610.4,599.6155172413793,-5.371982793103449
-78,58,922920.6,1369648.0,1152351.0,497.3646551724138,-6.283692517241379
-77,58,874667.2,1345099.0,1110485.0,495.64137931034486,-6.815517172413793
-76,58,832326.0,1331657.0,1076528.0,489.3534413793103,-6.847773
-75,58,792384.1,1321220.0,1045188.0,486.2034448275863,-6.837643620689655
-74,58,755227.3,1313863.0,1016673.0,493.1913793103448,-6.109841862068965
-73,58,721291.1,1309637.0,991227.9,515.8413793103449,-5.1033764482758635
-72,58,691054.4,1307957.0,969138.6,540.4431,-4.646695413793103
-71,58,664940.1,1307432.0,950532.9,554.0956896551725,-4.248563172413793
-140,59,225337.3,1811237.0,15194.8,3495.3206896551724,-0.8879310448275864
-77,59,951623.5,1452985.0,1200643.0,481.8922413793104,-6.531106344827585
-76,59,913699.8,1440815.0,1169982.0,475.97155172413795,-6.703520137931034
-75,59,878255.4,1431381.0,1141791.0,468.12500000000006,-6.685201137931034
-74,59,845606.6,1424737.0,1116272.0,464.6189655172414,-5.9255028620689645
-73,59,816093.2,1420924.0,1093644.0,470.3413793103449,-4.997054551724137
-72,59,790070.3,1419326.0,1074093.0,480.3594827586208,-4.787284413793104
-71,59,766987.8,1417890.0,1056823.0,488.86637586206905,-4.228591931034483
-66,59,715992.9,1452799.0,876720.1,555.3482724137931,-2.976724055172414
