iter	Logloss
0	0.6855221261
1	0.6783215139
2	0.6718654811
3	0.6651257876
4	0.6591512258
5	0.6537698729
6	0.6490886803
7	0.6442667522
8	0.639787683
9	0.6355392939
10	0.6313101196
11	0.627862809
12	0.6245354638
13	0.6213766519
14	0.6187356832
15	0.6156096905
16	0.6129790413
17	0.6099010481
18	0.6078553251
19	0.6058124068
20	0.6037734876
21	0.6018064332
22	0.600324843
23	0.5989573442
24	0.5974306809
25	0.5957568075
26	0.5937787418
27	0.5927147987
28	0.5915960218
29	0.5903684089
30	0.5889560272
31	0.5879627484
32	0.5867979532
33	0.5856243998
34	0.5846577801
35	0.5837486982
36	0.5826628607
37	0.5815673933
38	0.5807111051
39	0.5799069404
40	0.579128837
41	0.5784951221
42	0.5779438966
43	0.5772736967
44	0.5765613933
45	0.5761486225
46	0.575446091
47	0.5750983104
48	0.5747465774
49	0.5740822201
50	0.573501073
51	0.5729183768
52	0.5724064045
53	0.5717778963
54	0.5714656068
55	0.571032911
56	0.5705623177
57	0.5702559654
58	0.5698257544
59	0.569250914
60	0.5685844334
61	0.5682534023
62	0.5677319173
63	0.5672413282
64	0.5668309441
65	0.5665876842
66	0.5661140893
67	0.5657195881
68	0.5653236434
69	0.565150373
70	0.564771877
71	0.5643917137
72	0.5640726037
73	0.5637985637
74	0.5634366911
75	0.5632612749
76	0.5630530612
77	0.5628380549
78	0.5625612698
79	0.5622653315
80	0.5621158596
81	0.5619177509
82	0.5616223905
83	0.5613991
84	0.5609668282
85	0.5608067389
86	0.5606586825
87	0.5604079294
88	0.5601126792
89	0.5600279322
90	0.559680603
91	0.5593561779
92	0.5589357445
93	0.5585982149
94	0.5584694921
95	0.558158549
96	0.557967067
97	0.5579221837
98	0.5577102478
99	0.5575871875
100	0.5573557755
101	0.5571575234
102	0.5569636852
103	0.5567412396
104	0.5565402348
105	0.5563263272
106	0.5561456381
107	0.5558097621
108	0.5555696313
109	0.5553891046
110	0.5551062845
111	0.5549557577
112	0.5547361829
113	0.554420362
114	0.5542597137
115	0.5540813757
116	0.5537333671
117	0.5535192462
118	0.5533451166
119	0.553254675
120	0.5530703512
121	0.5529028082
122	0.5525988198
123	0.5524221958
124	0.5523208119
125	0.552127904
126	0.5519813595
127	0.551748927
128	0.5516148913
129	0.5514312437
130	0.5513268742
131	0.5510936006
132	0.5509633389
133	0.5506872556
134	0.5504207664
135	0.5502618097
136	0.5501047504
137	0.550027516
138	0.5499290881
139	0.5497972895
140	0.5496962957
141	0.549407308
142	0.5491636074
143	0.5490259156
144	0.5488905585
145	0.5487997867
146	0.5485670818
147	0.5484035725
148	0.5482271168
149	0.5481822153
150	0.5479835587
151	0.5478066055
152	0.5477064089
153	0.5476149169
154	0.5475337911
155	0.5473175846
156	0.5472697113
157	0.5471464645
158	0.5469676948
159	0.5468243191
160	0.5465648669
161	0.5463692329
162	0.5462670197
163	0.5461586995
164	0.5460479151
165	0.5459760057
166	0.5458459672
167	0.5457099435
168	0.5456484382
169	0.5454902709
170	0.5453997705
171	0.54531638
172	0.5451837198
173	0.5450306341
174	0.5449502704
175	0.5448525355
176	0.5447305099
177	0.5445537525
178	0.5444469139
179	0.5443195313
180	0.5442168474
181	0.5441284874
182	0.5440066872
183	0.5439359224
184	0.5438292034
185	0.5438143127
186	0.5436012736
187	0.5433556294
188	0.543261189
189	0.5431438257
190	0.5430684394
191	0.5429769581
192	0.5428329553
193	0.5426687778
194	0.5426064718
195	0.5425619291
196	0.5424822551
197	0.5424236114
198	0.5423118051
199	0.5423096154
200	0.5422270301
201	0.5421720796
202	0.5420017
203	0.5419407138
204	0.5418591087
205	0.5418081368
206	0.5416898982
207	0.5416191445
208	0.541565055
209	0.541394644
210	0.5413339785
211	0.5412457236
212	0.541137886
213	0.5410581491
214	0.5409691779
215	0.5408867287
216	0.5407708218
217	0.5406696788
218	0.5404145794
219	0.5403331848
220	0.5403009877
221	0.5401758696
222	0.5401024157
223	0.5400197799
224	0.5398645965
225	0.539721835
226	0.5396225399
227	0.539566463
228	0.5394062787
229	0.5393422432
230	0.5392612183
231	0.5389792181
232	0.5389225913
233	0.53882798
234	0.5387144347
235	0.5386286644
236	0.5385252219
237	0.5384799053
238	0.5383989777
239	0.5383421409
240	0.5382440074
241	0.5381417313
242	0.5380303791
243	0.5379139828
244	0.5378721141
245	0.5378017565
246	0.5375811185
247	0.5373912049
248	0.5373384979
249	0.5371884357
250	0.5371040682
251	0.5370442185
252	0.5368317486
253	0.5367271968
254	0.5367003618
255	0.5366974646
256	0.5365966526
257	0.5364215803
258	0.536314519
259	0.5361941396
260	0.5361234764
261	0.5360795274
262	0.5359288474
263	0.5357972842
264	0.5357904264
265	0.5357752599
266	0.5356759477
267	0.5356600031
268	0.5356154869
269	0.535463422
270	0.535339655
271	0.5352295913
272	0.5352231737
273	0.5351331733
274	0.5351070316
275	0.5350663206
276	0.5350094468
277	0.5347933734
278	0.5347573645
279	0.5346687281
280	0.5345993887
281	0.5345344299
282	0.5344083632
283	0.5343747035
284	0.53433522
285	0.5343104934
286	0.5342421239
287	0.5341892223
288	0.534127513
289	0.5340503289
290	0.5339815852
291	0.5338276001
292	0.5337322841
293	0.5335742838
294	0.5334594264
295	0.5333828919
296	0.5332649523
297	0.5332496692
298	0.533066218
299	0.5328968759
300	0.5328926067
301	0.5328670346
302	0.5327580762
303	0.5325962986
304	0.5325434242
305	0.5325275444
306	0.5324164845
307	0.5323531907
308	0.5323102494
309	0.5322550296
310	0.5321943829
311	0.5321852964
312	0.5321047823
313	0.5320328182
314	0.5319425774
315	0.531847682
316	0.5318087891
317	0.5317800393
318	0.5317581774
319	0.5317118998
320	0.5316528388
321	0.5315865978
322	0.5315047027
323	0.5314219784
324	0.531251671
325	0.5311900826
326	0.5311297024
327	0.5310597886
328	0.53089687
329	0.5308902939
330	0.530847928
331	0.530766811
332	0.5307175492
333	0.5307148809
334	0.5306665524
335	0.5305774561
336	0.5305084709
337	0.5304767336
338	0.5304480559
339	0.530402786
340	0.53035988
341	0.530283046
342	0.5301924963
343	0.5300581745
344	0.5299438127
345	0.5297911639
346	0.5297274428
347	0.5296354543
348	0.5295832389
349	0.5295251578
350	0.529483071
351	0.5294055126
352	0.5293930759
353	0.5293588395
354	0.5292425053
355	0.5292367319
356	0.5290991878
357	0.5290795062
358	0.5290173459
359	0.5289470191
360	0.5288820884
361	0.5288703167
362	0.5287504542
363	0.5287197622
364	0.528675639
365	0.5286726279
366	0.5286507705
367	0.5285441423
368	0.5284583684
369	0.5283792895
370	0.5283570066
371	0.528342395
372	0.528301186
373	0.5282068962
374	0.5281438466
375	0.5281097438
376	0.5279751837
377	0.5278821455
378	0.527851431
379	0.5278096358
380	0.5277390797
381	0.527600993
382	0.5275526155
383	0.5274534321
384	0.5274352304
385	0.5273512717
386	0.5273378459
387	0.5273317909
388	0.5272329912
389	0.5270560947
390	0.5269686383
391	0.5268374172
392	0.52668991
393	0.5265013214
394	0.5264285737
395	0.5263902874
396	0.5262900255
397	0.5262497385
398	0.5261854949
399	0.5261127628
400	0.5260843139
401	0.5260424518
402	0.5259403791
403	0.5258052356
404	0.525764654
405	0.5257216589
406	0.5256768701
407	0.5256198334
408	0.5255804066
409	0.5255211271
410	0.5254551603
411	0.5254146979
412	0.5254069289
413	0.5253507105
414	0.5253352152
415	0.5252539468
416	0.5252073688
417	0.5251113916
418	0.5250286223
419	0.5249720743
420	0.5249525518
421	0.52475355
422	0.5247413415
423	0.5246776406
424	0.524594922
425	0.5244967748
426	0.5243922182
427	0.5243477472
428	0.5243286469
429	0.5242378112
430	0.5242291172
431	0.5241621921
432	0.5240529266
433	0.5239668481
434	0.5239140888
435	0.5238137828
436	0.5237206226
437	0.5236510244
438	0.5236158007
439	0.5235637197
440	0.5234586852
441	0.5233833351
442	0.5232865492
443	0.5231728514
444	0.5231605121
445	0.5230857085
446	0.5230141683
447	0.5229331732
448	0.5227733072
449	0.5227339783
450	0.522616274
451	0.522581163
452	0.5225624742
453	0.522507989
454	0.5224453811
455	0.5224184633
456	0.5223481659
457	0.5222499476
458	0.5222358377
459	0.5222207061
460	0.5221877956
461	0.5221567135
462	0.5221269153
463	0.5220328892
464	0.5219949042
465	0.5218556622
466	0.5218016822
467	0.5217969382
468	0.5217507232
469	0.5217118602
470	0.5216994538
471	0.5216861284
472	0.5216756239
473	0.5215933552
474	0.5215652696
475	0.521475265
476	0.5214563391
477	0.5212800397
478	0.5212462275
479	0.5212282912
480	0.5211281679
481	0.5210674915
482	0.5210550469
483	0.5209837486
484	0.520927804
485	0.5208661344
486	0.5207563024
487	0.5207504314
488	0.5206821452
489	0.5206425139
490	0.520613768
491	0.5206027084
492	0.5204923081
493	0.5204350003
494	0.5204134942
495	0.5204008682
496	0.5203309451
497	0.5203117333
498	0.5203048467
499	0.5202944099
500	0.5202167204
501	0.5201770112
502	0.5201695267
503	0.5201589298
504	0.5201478295
505	0.5201037338
506	0.520036253
507	0.5199418269
508	0.5199142814
509	0.5198265722
510	0.5198233979
511	0.5197504034
512	0.5196755289
513	0.5196536946
514	0.5195657326
515	0.5195306009
516	0.5194627469
517	0.519354401
518	0.5193422297
519	0.5192893324
520	0.5192524126
521	0.5192369984
522	0.5192079046
523	0.5191620741
524	0.5190902398
525	0.5190380072
526	0.5190295823
527	0.5189389608
528	0.5189171774
529	0.5188946812
530	0.5188898111
531	0.5188334929
532	0.5187832011
533	0.518738806
534	0.5187035353
535	0.5186863773
536	0.5185799486
537	0.5185241677
538	0.5184560218
539	0.5184171295
540	0.5183605328
541	0.5182748913
542	0.5182577487
543	0.5181727581
544	0.5179760683
545	0.5179560351
546	0.5179309895
547	0.5179245574
548	0.5178875262
549	0.5178848294
550	0.5178736682
551	0.517801969
552	0.5177662625
553	0.5177072061
554	0.5176098221
555	0.5175939054
556	0.5175822505
557	0.5175360719
558	0.5174892967
559	0.5174382999
560	0.5173924497
561	0.5173303642
562	0.5173234961
563	0.517272216
564	0.5172051913
565	0.5171675106
566	0.5171508799
567	0.5171316235
568	0.5170143523
569	0.5169705229
570	0.516955753
571	0.5169549646
572	0.5169452749
573	0.516929155
574	0.5168623636
575	0.5167751731
576	0.5167732124
577	0.5167659358
578	0.5167054801
579	0.5166856409
580	0.516620776
581	0.5165874797
582	0.5165062648
583	0.5164328115
584	0.5164299963
585	0.5164275825
586	0.5163811157
587	0.5163328919
588	0.516304011
589	0.5162697809
590	0.5162072437
591	0.5161346635
592	0.5161301821
593	0.5160805142
594	0.5159964146
595	0.515931533
596	0.5158889079
597	0.5158401975
598	0.5158355715
599	0.5158314337
600	0.5158240929
601	0.5157361891
602	0.5157307783
603	0.5157076244
604	0.5155776375
605	0.5155205779
606	0.5154859091
607	0.5154520208
608	0.5154420222
609	0.5154388084
610	0.5154211034
611	0.5153742044
612	0.5153666384
613	0.5152856753
614	0.5152027142
615	0.5151777363
616	0.5151222684
617	0.5150674438
618	0.515041689
619	0.5150354166
620	0.5150103516
621	0.5150004626
622	0.5149930364
623	0.5149607952
624	0.5149058415
625	0.5148242354
626	0.51476597
627	0.514762346
628	0.514747452
