latitude,longitude,nkill
18.456792,-69.951164,1
19.371887,-99.086624,0
15.478598,120.599741,1
37.99749,23.762728,0
33.580412,130.396361,0
37.005105,-89.176269,0
-34.891151,-56.187214,0
37.791927,-122.225906,0
43.076592,-89.412488,0
43.07295,-89.386694,0
43.4685,-89.744299,0
39.758968,-104.876305,0
41.890961,12.490069,0
42.331685,-83.047924,0
18.386932,-66.061127,0
52.50153,13.401851,0
,,1
40.697132,-73.931351,0
18.379998,-65.830948,0
47.610786,-122.331306,0
40.116748,-88.23927,0
-34.891151,-56.187214,0
47.610786,-122.331306,0
47.610786,-122.331306,0
40.717892,-74.067467,0
14.622869,-90.529068,1
14.67428,121.057495,0
10.482834,-66.962128,0
42.47031,-96.413949,0
33.60651,-88.650419,0
40.697132,-73.931351,0
33.60651,-88.650419,0
40.697132,-73.931351,0
41.241996,-82.615241,0
52.50153,13.401851,0
47.610786,-122.331306,0
42.479999,-96.413046,0
42.46634,-96.41405,0
25.720851,-80.277857,0
15.675051,120.331618,0
39.758968,-104.876305,0
45.511795,-122.675629,0
37.005105,-89.176269,0
40.697132,-73.931351,0
40.697132,-73.931351,0
40.697132,-73.931351,0
41.084195,-81.514059,0
39.758968,-104.876305,0
47.610786,-122.331306,0
47.610786,-122.331306,0
18.460791,-66.264884,0
18.386932,-66.061127,0
18.441963,-66.026316,0
42.3505,-71.105399,0
42.838355,-88.743224,0
40.697132,-73.931351,0
40.697132,-73.931351,0
40.697132,-73.931351,0
39.07859,-84.179414,0
48.139126,11.580186,1
42.263414,-83.665281,0
37.874043,-122.280022,0
48.139126,11.580186,1
37.874043,-122.280022,0
40.697132,-73.931351,0
44.04483,-123.072606,0
37.755363,-122.443352,1
37.874043,-122.280022,0
37.874043,-122.280022,0
37.755363,-122.443352,0
37.791927,-122.225906,0
39.334825,-77.431653,0
30.493919,-90.132512,0
47.610786,-122.331306,0
41.479561,-81.675461,0
38.10083,-122.254954,0
41.763325,-72.674069,0
40.697132,-73.931351,0
47.610786,-122.331306,0
50.11797,8.644191,0
47.36865,8.539182,1
40.697132,-73.931351,0
40.697132,-73.931351,0
40.697132,-73.931351,0
39.758968,-104.876305,0
42.455233,-76.475847,0
43.287052,-89.724361,0
42.47031,-96.413949,0
42.47031,-96.413949,0
42.47031,-96.413949,0
42.47031,-96.413949,0
32.222232,-110.925752,0
39.758968,-104.876305,0
40.101952,-88.227161,0
40.007581,-105.265942,0
31.530243,35.094162,0
14.596051,120.978666,0
41.890961,12.490069,0
40.007581,-105.265942,0
38.864281,-104.778412,0
40.007581,-105.265942,0
40.014986,-105.270546,0
41.479561,-81.675461,0
,,0
39.758968,-104.876305,0
47.610786,-122.331306,0
37.791927,-122.225906,0
38.019304,-122.134062,0
39.758968,-104.876305,0
47.610786,-122.331306,0
39.758968,-104.876305,0
18.386932,-66.061127,1
14.622869,-90.529068,0
42.331685,-83.047924,0
42.331685,-83.047924,0
37.874043,-122.280022,0
33.83651,-86.254749,0
41.18188,-73.191269,0
35.084319,-106.619781,0
39.53894,-76.348479,1
48.139126,11.580186,0
38.563122,-76.078063,0
